Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22
0.824,0.3958,0.8282,0.5513,0.875,0.5482,0.9459,0.625,0.949,4106,19,29,852,2718,42,6,2240,4705,30,18,253
0.8168,0.2708,0.8221,0.5348,0.6875,0.5333,0.9431,0.6458,0.9459,4076,13,35,882,2644,33,15,2314,4690,31,17,268
0.8254,0.3542,0.83,0.5423,0.7292,0.5405,0.9479,0.5208,0.952,4115,17,31,843,2680,35,13,2278,4720,25,23,238
0.823,0.375,0.8273,0.5541,0.8125,0.5516,0.9293,0.7083,0.9314,4102,18,30,856,2735,39,9,2223,4618,34,14,340
0.8162,0.3542,0.8207,0.5447,0.75,0.5428,0.9321,0.5833,0.9355,4069,17,31,889,2691,36,12,2267,4638,28,20,320
0.8198,0.25,0.8253,0.5364,0.7708,0.5341,0.9467,0.5833,0.9502,4092,12,36,866,2648,37,11,2310,4711,28,20,247
0.821,0.3542,0.8255,0.5453,0.7708,0.5432,0.9437,0.6667,0.9463,4093,17,31,865,2693,37,11,2265,4692,32,16,266
0.8188,0.4583,0.8223,0.538,0.8125,0.5353,0.9493,0.5833,0.9528,4077,22,26,881,2654,39,9,2304,4724,28,20,234
0.8262,0.3333,0.831,0.538,0.7292,0.5361,0.9463,0.5417,0.9502,4120,16,32,838,2658,35,13,2300,4711,26,22,247
0.825,0.375,0.8294,0.5354,0.7708,0.5331,0.9437,0.625,0.9468,4112,18,30,846,2643,37,11,2315,4694,30,18,264
0.8266,0.375,0.831,0.5461,0.7917,0.5438,0.9343,0.6042,0.9375,4120,18,30,838,2696,38,10,2262,4648,29,19,310
0.8218,0.2917,0.8269,0.536,0.7292,0.5341,0.9361,0.625,0.9391,4100,14,34,858,2648,35,13,2310,4656,30,18,302
0.8234,0.375,0.8278,0.5499,0.7917,0.5476,0.9495,0.6458,0.9524,4104,18,30,854,2715,38,10,2243,4722,31,17,236
0.8242,0.3125,0.8292,0.5585,0.7292,0.5569,0.9503,0.6458,0.9532,4111,15,33,847,2761,35,13,2197,4726,31,17,232
0.8128,0.25,0.8183,0.537,0.7708,0.5347,0.9297,0.6042,0.9328,4057,12,36,901,2651,37,11,2307,4625,29,19,333
